country_name,variations
Afghanistan,Afghan
Albania,Albanian
Algeria,Algerian
Andorra,Andorran
Angola,Angolan
Antigua and Barbuda,Antiguan Barbudan
Argentina,Argentine Argentinian Argentinean
Armenia,Armenian
Australia,Australian Aussie
Austria,Austrian
Azerbaijan,Azerbaijani Azeri
Bahamas,Bahamian
Bahrain,Bahraini
Bangladesh,Bangladeshi Bengali
Barbados,Barbadian Bajan
Belarus,Belarusian Belorussian Belarusan
Belgium,Belgian
Belize,Belizean
Benin,Beninese Beninois
Bhutan,Bhutanese
Bolivia,Bolivian
Bosnia and Herzegovina,Bosnian Bosniak Herzegovinian
Botswana,Motswana Botswanan
Brazil,Brazilian
Brunei,Bruneian
Bulgaria,Bulgarian
Burkina Faso,Burkinabe
Burundi,Burundian
Cambodia,Cambodian Khmer
Cameroon,Cameroonian
Canada,Canadian
Cape Verde,Cape Verdean Cabo Verde
Central African Republic,Central African
Chad,Chadian
Chile,Chilean
China,Chinese PRC People's Republic of China Mainland China
Colombia,Colombian
Comoros,Comoran Comorian
Congo (Republic of the),Congolese
Congo (Democratic Republic of the),Congolese DRC
Costa Rica,Costa Rican
Cote d'Ivoire,Ivorian Ivory Coast
Croatia,Croatian Croat
Cuba,Cuban
Cyprus,Cypriot
Czech Republic,Czech Czechia
Denmark,Danish Dane
Djibouti,Djiboutian
Dominica,Dominican
Dominican Republic,Dominican
Ecuador,Ecuadorian
Egypt,Egyptian
El Salvador,Salvadoran
Equatorial Guinea,Equatorial Guinean Equatoguinean
Eritrea,Eritrean
Estonia,Estonian
Eswatini,Swazi Swaziland
Ethiopia,Ethiopian
Fiji,Fijian
Finland,Finnish Finn
France,French
Gabon,Gabonese
Gambia,Gambian
Georgia,Georgian
Germany,German
Ghana,Ghanaian
Greece,Greek Hellenic
Grenada,Grenadian
Guatemala,Guatemalan
Guinea,Guinean
Guinea-Bissau,Bissau-Guinean
Guyana,Guyanese
Haiti,Haitian
Honduras,Honduran
Hungary,Hungarian Magyar
Iceland,Icelandic
India,Indian
Indonesia,Indonesian
Iran,Iranian Persian
Iraq,Iraqi
Ireland,Irish
Israel,Israeli
Italy,Italian
Jamaica,Jamaican
Japan,Japanese
Jordan,Jordanian
Kazakhstan,Kazakhstani Kazakh
Kenya,Kenyan
Kiribati,I-Kiribati
North Korea,North Korean DPRK Democratic People's Republic of Korea
South Korea,South Korean ROK Republic of Korea
Kosovo,Kosovar Kosovan
Kuwait,Kuwaiti
Kyrgyzstan,Kyrgyz Kyrgyzstani
Laos,Lao Laotian
Latvia,Latvian Lett
Lebanon,Lebanese
Lesotho,Basotho
Liberia,Liberian
Libya,Libyan
Liechtenstein,Liechtensteiner
Lithuania,Lithuanian
Luxembourg,Luxembourgish Luxembourger
Madagascar,Malagasy Madagascan
Malawi,Malawian
Malaysia,Malaysian
Maldives,Maldivian
Mali,Malian
Malta,Maltese
Marshall Islands,Marshallese
Mauritania,Mauritanian
Mauritius,Mauritian
Mexico,Mexican
Micronesia,Micronesian
Moldova,Moldovan
Monaco,Monacan Monégasque
Mongolia,Mongolian
Montenegro,Montenegrin
Morocco,Moroccan
Mozambique,Mozambican
Myanmar,Burmese Burma
Namibia,Namibian
Nauru,Nauruan
Nepal,Nepali Nepalese
Netherlands,Dutch Netherlandic Holland
New Zealand,New Zealander Kiwi
Nicaragua,Nicaraguan
Niger,Nigerien
Nigeria,Nigerian
North Macedonia,Macedonian FYROM
Norway,Norwegian
Oman,Omani
Pakistan,Pakistani
Palau,Palauan
Palestine,Palestinian
Panama,Panamanian
Papua New Guinea,Papua New Guinean
Paraguay,Paraguayan
Peru,Peruvian
Philippines,Filipino Philippine Pinoy
Poland,Polish
Portugal,Portuguese
Qatar,Qatari
Romania,Romanian
Russia,Russian Russian Federation
Rwanda,Rwandan
Saint Kitts and Nevis,Kittitian Nevisian
Saint Lucia,Saint Lucian
Saint Vincent and the Grenadines,Saint Vincentian Vincentian
Samoa,Samoan
San Marino,Sammarinese
Sao Tome and Principe,São Toméan
Saudi Arabia,Saudi KSA
Senegal,Senegalese
Serbia,Serbian Serb
Seychelles,Seychellois
Sierra Leone,Sierra Leonean
Singapore,Singaporean
Slovakia,Slovak
Slovenia,Slovene Slovenian
Solomon Islands,Solomon Islander
Somalia,Somali
South Africa,South African
South Sudan,South Sudanese
Spain,Spanish
Sri Lanka,Sri Lankan Ceylonese
Sudan,Sudanese
Suriname,Surinamese
Sweden,Swedish
Switzerland,Swiss
Syria,Syrian
Taiwan,Taiwanese ROC Republic of China
Tajikistan,Tajik
Tanzania,Tanzanian
Thailand,Thai
Timor-Leste,Timorese East Timor
Togo,Togolese
Tonga,Tongan
Trinidad and Tobago,Trinidadian Tobagonian
Tunisia,Tunisian
Turkey,Turkish Türkiye
Turkmenistan,Turkmen
Tuvalu,Tuvaluan
Uganda,Ugandan
Ukraine,Ukrainian
United Arab Emirates,Emirati UAE
United Kingdom,British UK Britain Briton Great Britain
United States,American USA US U.S. U.S.A. America
Uruguay,Uruguayan
Uzbekistan,Uzbek Uzbekistani
Vanuatu,Ni-Vanuatu Vanuatuan
Vatican City,Vatican
Venezuela,Venezuelan
Vietnam,Vietnamese
Yemen,Yemeni
Zambia,Zambian
Zimbabwe,Zimbabwean 
